airport_1,Goroka Airport,GKA,Papua New Guinea,Goroka,"{latitude:-6.08168983459, longitude:145.391998291}",10
airport_2,Madang Airport,MAG,Papua New Guinea,Madang,"{latitude:-5.20707988739, longitude:145.789001465}",10
airport_3,Mount Hagen Kagamuga Airport,HGU,Papua New Guinea,Mount Hagen,"{latitude:-5.82678985595703, longitude:144.296005249023}",10
airport_4,Nadzab Airport,LAE,Papua New Guinea,Nadzab,"{latitude:-6.569803, longitude:146.725977}",10
airport_5,Port Moresby Jacksons International Airport,POM,Papua New Guinea,Port Moresby,"{latitude:-9.44338035583496, longitude:147.220001220703}",10
airport_6,Wewak International Airport,WWK,Papua New Guinea,Wewak,"{latitude:-3.58383011818, longitude:143.669006348}",10
airport_7,Narsarsuaq Airport,UAK,Greenland,Narssarssuaq,"{latitude:61.1604995728, longitude:-45.4259986877}",-3
airport_8,Godthaab / Nuuk Airport,GOH,Greenland,Godthaab,"{latitude:64.19090271, longitude:-51.6781005859}",-3
airport_9,Kangerlussuaq Airport,SFJ,Greenland,Sondrestrom,"{latitude:67.0122218992, longitude:-50.7116031647}",-3
airport_10,Thule Air Base,THU,Greenland,Thule,"{latitude:76.5311965942, longitude:-68.7032012939}",-4
airport_11,Akureyri Airport,AEY,Iceland,Akureyri,"{latitude:65.6600036621093, longitude:-18.0727005004882}",0
airport_12,Egilsstaðir Airport,EGS,Iceland,Egilsstadir,"{latitude:65.2833023071289, longitude:-14.4013996124267}",0
airport_13,Hornafjörður Airport,HFN,Iceland,Hofn,"{latitude:64.295601, longitude:-15.2272}",0
airport_14,Húsavík Airport,HZK,Iceland,Husavik,"{latitude:65.952301, longitude:-17.426001}",0
airport_15,Ísafjörður Airport,IFJ,Iceland,Isafjordur,"{latitude:66.0580978393554, longitude:-23.1352996826171}",0
airport_16,Keflavik International Airport,KEF,Iceland,Keflavik,"{latitude:63.985000610352, longitude:-22.605600357056}",0
airport_17,Patreksfjörður Airport,PFJ,Iceland,Patreksfjordur,"{latitude:65.555801, longitude:-23.965}",0
airport_18,Reykjavik Airport,RKV,Iceland,Reykjavik,"{latitude:64.1299972534, longitude:-21.9405994415}",0
airport_19,Siglufjörður Airport,SIJ,Iceland,Siglufjordur,"{latitude:66.133301, longitude:-18.9167}",0
airport_20,Vestmannaeyjar Airport,VEY,Iceland,Vestmannaeyjar,"{latitude:63.4243011474609, longitude:-20.2789001464843}",0
airport_21,Sault Ste Marie Airport,YAM,Canada,Sault Sainte Marie,"{latitude:46.4850006103515, longitude:-84.5093994140625}",-5
airport_24,St. Anthony Airport,YAY,Canada,St. Anthony,"{latitude:51.3918991089, longitude:-56.0830993652}",-3.5
airport_25,Tofino / Long Beach Airport,YAZ,Canada,Tofino,"{latitude:49.079833, longitude:-125.775583}",-8
airport_26,Kugaaruk Airport,YBB,Canada,Pelly Bay,"{latitude:68.534401, longitude:-89.808098}",-7
airport_27,Baie Comeau Airport,YBC,Canada,Baie Comeau,"{latitude:49.1324996948242, longitude:-68.2043991088867}",-5
airport_28,CFB Bagotville,YBG,Canada,Bagotville,"{latitude:48.3306007385253, longitude:-70.9963989257812}",-5
airport_29,Baker Lake Airport,YBK,Canada,Baker Lake,"{latitude:64.2988967896, longitude:-96.077796936}",-6
airport_30,Campbell River Airport,YBL,Canada,Campbell River,"{latitude:49.9508018493652, longitude:-125.271003723144}",-8
airport_31,Brandon Municipal Airport,YBR,Canada,Brandon,"{latitude:49.91, longitude:-99.951897}",-6
airport_32,Cambridge Bay Airport,YCB,Canada,Cambridge Bay,"{latitude:69.1081008911, longitude:-105.138000488}",-7
airport_33,Nanaimo Airport,YCD,Canada,Nanaimo,"{latitude:49.0549702248999, longitude:-123.869862556}",-8
airport_34,Castlegar/West Kootenay Regional Airport,YCG,Canada,Castlegar,"{latitude:49.2963981628, longitude:-117.632003784}",-8
airport_35,Miramichi Airport,YCH,Canada,Chatham,"{latitude:47.007801, longitude:-65.449203}",-4
airport_36,Charlo Airport,YCL,Canada,Charlo,"{latitude:47.990799, longitude:-66.330299}",-4
airport_37,Kugluktuk Airport,YCO,Canada,Coppermine,"{latitude:67.816704, longitude:-115.143997}",-7
airport_38,Coronation Airport,YCT,Canada,Coronation,"{latitude:52.0750007629, longitude:-111.444999695}",-7
airport_39,Chilliwack Airport,YCW,Canada,Chilliwack,"{latitude:49.1528015137, longitude:-121.939002991}",-8
airport_40,Clyde River Airport,YCY,Canada,Clyde River,"{latitude:70.4860992432, longitude:-68.5167007446}",-5
airport_41,Coral Harbour Airport,YZS,Canada,Coral Harbour,"{latitude:64.1932983398, longitude:-83.3593978882}",-5
airport_42,Dawson City Airport,YDA,Canada,Dawson,"{latitude:64.043098449707, longitude:-139.128005981445}",-8
airport_43,Burwash Airport,YDB,Canada,Burwash,"{latitude:61.3711013793945, longitude:-139.04100036621}",-8
airport_45,Deer Lake Airport,YDF,Canada,Deer Lake,"{latitude:49.2108001708984, longitude:-57.3913993835449}",-3.5
airport_46,Dease Lake Airport,YDL,Canada,Dease Lake,"{latitude:58.4221992493, longitude:-130.031997681}",-8
airport_47,Dauphin Barker Airport,YDN,Canada,Dauphin,"{latitude:51.1007995605468, longitude:-100.052001953125}",-6
airport_48,Dawson Creek Airport,YDQ,Canada,Dawson Creek,"{latitude:55.7422981262207, longitude:-120.182998657226}",-7
airport_49,Edmonton International Airport,YEG,Canada,Edmonton,"{latitude:53.3097000122, longitude:-113.580001831}",-7
airport_50,Arviat Airport,YEK,Canada,Eskimo Point,"{latitude:61.0942001343, longitude:-94.0708007811999}",-6
airport_51,Estevan Airport,YEN,Canada,Estevan,"{latitude:49.2103004456, longitude:-102.966003418}",-6
airport_52,Edson Airport,YET,Canada,Edson,"{latitude:53.5788993834999, longitude:-116.464996338}",-7
airport_53,Eureka Airport,YEU,Canada,Eureka,"{latitude:79.9946975708, longitude:-85.814201355}",-6
airport_54,Inuvik Mike Zubko Airport,YEV,Canada,Inuvik,"{latitude:68.3041992188, longitude:-133.483001709}",-7
airport_55,Iqaluit Airport,YFB,Canada,Iqaluit,"{latitude:63.756402, longitude:-68.555801}",-5
airport_56,Fredericton Airport,YFC,Canada,Fredericton,"{latitude:45.8689002990722, longitude:-66.5372009277343}",-4
airport_57,Forestville Airport,YFE,Canada,Forestville,"{latitude:48.7461013793945, longitude:-69.0971984863281}",-5
airport_58,Flin Flon Airport,YFO,Canada,Flin Flon,"{latitude:54.6781005859375, longitude:-101.681999206542}",-6
airport_59,Fort Resolution Airport,YFR,Canada,Fort Resolution,"{latitude:61.1808013916, longitude:-113.690002441}",-7
airport_60,Fort Simpson Airport,YFS,Canada,Fort Simpson,"{latitude:61.7602005004882, longitude:-121.236999511718}",-7
airport_61,Kingston Norman Rogers Airport,YGK,Canada,Kingston,"{latitude:44.225299835205, longitude:-76.5969009399414}",-5
airport_62,La Grande Rivière Airport,YGL,Canada,La Grande Riviere,"{latitude:53.6253013610839, longitude:-77.7042007446289}",-5
airport_63,Gaspé (Michel-Pouliot) Airport,YGP,Canada,Gaspe,"{latitude:48.7752990723, longitude:-64.4785995483}",-5
airport_64,Geraldton Greenstone Regional Airport,YGQ,Canada,Geraldton,"{latitude:49.7783012390136, longitude:-86.9393997192382}",-5
airport_65,Îles-de-la-Madeleine Airport,YGR,Canada,Iles De La Madeleine,"{latitude:47.4247016906738, longitude:-61.7780990600585}",-5
airport_66,Hudson Bay Airport,YHB,Canada,Hudson Bay,"{latitude:52.8166999817, longitude:-102.310997009}",-6
airport_67,Dryden Regional Airport,YHD,Canada,Dryden,"{latitude:49.831699, longitude:-92.744202}",-6
airport_68,Ulukhaktok Holman Airport,YHI,Canada,Holman Island,"{latitude:70.7628021240234, longitude:-117.805999755859}",-7
airport_69,Gjoa Haven Airport,YHK,Canada,Gjoa Haven,"{latitude:68.635597229, longitude:-95.8497009277}",-7
airport_70,John C. Munro Hamilton International Airport,YHM,Canada,Hamilton,"{latitude:43.1735992431999, longitude:-79.9349975585999}",-5
